분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
B 가축분뇨처리_5 간접 N2O 배출량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 벼재배,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 벼재배_1 수리답,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 벼재배_2 천수답,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 농경지토양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 농경지토양_1 직접배출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 농경지토양_2 간접배출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 사바나 소각,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각_1 곡물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각_2 두류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각_3 서류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각_4 사탕수수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 작물잔사소각_5 기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 석회 시용,2.54,2.39,2.15,2.83,2.98,2.67,2.68,3.17,3.63,3.49,3.42,4.05,4.93,4.49,4.02,4.38,3.99,3.45,3.06,3.45,2.67,4.27,3.87,3.43,3.8,3.49,3.51,3.55,3.12,2.21,2.79,2.47,2.48,2.7
H 요소 시용,432.49,292.2,339.77,345.86,327.41,318.25,315.45,304.41,319.39,309.02,284.85,236.68,225.47,218.93,241.17,161.19,126.45,190.22,154.14,130.61,121.6,135.46,136.41,129.49,127.12,118.64,118.06,110.79,117.04,110.62,105.01,110.29,91.84,92.33
LULUCF,-39384.65,-35400.58,-34561.65,-32975.7,-35335.73,-33580.3,-37020.35,-42021.44,-50408.61,-58601.03,-60858.75,-61094.78,-58774.61,-58458.92,-59811.59,-57844.84,-59042.63,-59754.6,-60699.02,-60472.4,-57749.44,-56942.69,-50939.73,-46642.25,-47531.1,-48200.29,-48627.37,-43257.03,-41964.15,-39090.87,-39282.13,-39291.98,-38474.05,-39855.39
A 산림지,-38226.33,-34163.25,-33540.81,-31968.59,-34375.7,-33102.61,-36825.76,-41925.03,-50590.83,-58347.23,-60590.33,-60918.49,-58657.08,-58358.19,-59594.87,-57612.52,-59187.42,-60257.75,-61485.52,-61241.79,-58836.95,-57732.37,-51553.42,-47014.1,-47856.79,-48486.43,-48728.61,-43702.34,-42633.12,-39974.75,-40244.16,-40385.36,-39539.93,-41066.43
A 산림지_1 산림지로 유지된 산림지,-38226.51,-34164.24,-33542.19,-31971.37,-34377.77,-33104.37,-37033.68,-41948.4,-50616.11,-58350.9,-61380.17,-60937.94,-58844.14,-58359.6,-59625.35,-57678.27,-59191.93,-60261.49,-61488.16,-61294.65,-58843.38,-57762.62,-51554.84,-47052.53,-47860.8,-48504.6,-48732.42,-43830.85,-42690.78,-40261.67,-40521.96,-40388.58,-41207.25,-41331.04
A 산림지_2 타토지에서 전용된 산림지,"NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE"
A 산림지_3 산불(산림지에서 바이오매스 연소에 의한 배출),0.18,0.99,1.38,2.78,2.06,1.76,207.92,23.37,25.28,3.66,789.84,19.45,187.06,1.41,30.48,65.75,4.51,3.74,2.64,52.86,6.43,30.25,1.42,38.44,4.01,18.16,3.82,128.51,57.66,286.93,277.81,3.22,1667.33,264.61
B 농경지,-29.89,123.45,338.94,514.24,779.06,1278.96,1700.2,1841.71,1870.26,1852.34,1843.02,1910.85,1943.15,2037.88,2095.27,2165.2,2379.32,2569.51,2754.62,2900.12,2971.71,3031.48,2703.68,2712.58,2768.42,2486.78,2370.96,2448.61,2570.48,2635.54,2684.21,2873.77,2859.49,2863.43
B 농경지_1 농경지로 유지된 농경지,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE"
B 농경지_2 타토지에서 전용된 농경지,-29.89,123.45,338.94,514.24,779.06,1278.96,1700.2,1841.71,1870.26,1852.34,1843.02,1910.85,1943.15,2037.88,2095.27,2165.2,2379.32,2569.51,2754.62,2900.12,2971.71,3031.48,2703.68,2712.58,2768.42,2486.78,2370.96,2448.61,2570.48,2635.54,2684.21,2873.77,2859.49,2863.43
C 초지,-670.41,-712.21,-686.06,-679.09,-678.03,-693.12,-711.17,-728.41,-734.29,-734.55,-741.89,-722.83,-688.75,-670.25,-622.22,-531.52,-377.15,-298.26,-252.1,-231.14,-211.75,-161.48,-174.72,-167.52,-150.55,-120.8,-88.89,-55.86,-36.36,-23.93,-16.02,-6.9,1.24,8.11
C 초지_1 초지로 유지된 초지,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE"
C 초지_2 타토지에서 전용된 초지,-670.41,-712.21,-686.06,-679.09,-678.03,-693.12,-711.17,-728.41,-734.29,-734.55,-741.89,-722.83,-688.75,-670.25,-622.22,-531.52,-377.15,-298.26,-252.1,-231.14,-211.75,-161.48,-174.72,-167.52,-150.55,-120.8,-88.89,-55.86,-36.36,-23.93,-16.02,-6.9,1.24,8.11
D 습지,65.24,58.2,63.62,63.49,63.59,76.77,71.18,74.83,75.1,69.22,71.01,70.57,72.1,65.6,56.46,29.44,21.64,25.08,35.65,35.87,29.19,30.06,24.79,30.61,32.26,41.46,44.33,27.67,15.19,10.24,8.75,4.69,0.13,-0.4
D 습지_1 습지로 유지된 습지,-21.06,-20.79,-19.16,-18.72,-19.25,-19.23,-20.22,-18.66,-19.46,-21.07,-20.83,-22.28,-21.68,-23.03,-22.83,-24.48,-25.22,-24.7,-24.43,-25.13,-27.64,-27.97,-27.42,-21.31,-21.83,-20.74,-20.85,-23.06,-20.42,-21.47,-21.82,-22.24,-23.72,-23.22
D 습지_1 습지로 유지된 습지_내륙습지,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE"
D 습지_1 습지로 유지된 습지_연안습지,-21.06,-20.79,-19.16,-18.72,-19.25,-19.23,-20.22,-18.66,-19.46,-21.07,-20.83,-22.28,-21.68,-23.03,-22.83,-24.48,-25.22,-24.7,-24.43,-25.13,-27.64,-27.97,-27.42,-21.31,-21.83,-20.74,-20.85,-23.06,-20.42,-21.47,-21.82,-22.24,-23.72,-23.22
D 습지_2 타토지에서 전용된 습지,86.3,78.99,82.79,82.21,82.84,96,91.4,93.49,94.56,90.3,91.84,92.85,93.78,88.63,79.28,53.92,46.86,49.79,60.08,61,56.83,58.03,52.22,51.91,54.09,62.2,65.17,50.73,35.6,31.71,30.57,26.94,23.85,22.82
D 습지_2 타토지에서 전용된 습지_내륙습지,86.3,78.99,82.79,82.21,82.84,96,91.4,93.49,94.56,90.3,91.84,92.85,93.78,88.63,79.28,53.92,46.86,49.79,60.08,61,56.83,58.03,52.22,51.91,54.09,62.2,65.17,50.73,35.6,31.71,30.57,26.94,23.85,22.82
E 정주지,-729.01,-750.14,-770.95,-791.44,-811.62,-831.48,-851.03,-870.26,-889.17,-907.77,-926.05,-944.01,-915.35,-936.74,-957.77,-978.43,-998.72,-1018.65,-1038.21,-1057.4,-1076.23,-1094.69,-1112.78,-1130.51,-1147.88,-1164.87,-1181.5,-1197.77,-1213.67,-1229.2,-1224.7,-1220.18,-1215.64,-1211.07
E 정주지_1 정주지로 유지된 정주지,-729.01,-750.14,-770.95,-791.44,-811.62,-831.48,-851.03,-870.26,-889.17,-907.77,-926.05,-944.01,-915.35,-936.74,-957.77,-978.43,-998.72,-1018.65,-1038.21,-1057.4,-1076.23,-1094.69,-1112.78,-1130.51,-1147.88,-1164.87,-1181.5,-1197.77,-1213.67,-1229.2,-1224.7,-1220.18,-1215.64,-1211.07
E 정주지_2 타토지에서 전용된 기타토지,"NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE","NO, NE, IE"
F 기타토지,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE"
F 기타토지_1 기타토지로 유지된 기타토지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 기타토지_2 타토지에서 전용된 기타토지,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE"
G 수확된 목재제품,205.75,43.36,33.6,-114.3,-313.03,-308.82,-403.78,-414.29,-139.67,-533.05,-514.51,-490.86,-528.67,-597.22,-788.46,-917.02,-880.31,-774.53,-713.46,-878.06,-625.42,-1015.69,-827.28,-1073.31,-1176.57,-956.42,-1043.65,-777.34,-666.67,-508.78,-490.21,-558,-579.36,-449.03
H 기타,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
폐기물,530.01,705.28,828.76,1022.29,1476.73,2113.79,1508.67,1904.74,1797.16,3118.8,4160.39,4858.63,4284.72,4444.34,4398.89,4683.18,4985.73,4228.18,3940.21,3979.47,3817.67,4523.56,5090.31,5139.93,4709.61,4996.63,5031.7,5254.04,4848.64,4745.75,4456.73,4472.8,4263.31,4741.54
A 폐기물매립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 폐기물매립_1 관리형 매립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 폐기물매립_2 비관리형 매립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 폐기물매립_3 기타 매립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 고형폐기물의 생물학적 처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 고형폐기물의 생물학적 처리_1 퇴비화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 고형폐기물의 생물학적 처리_2 바이오가스시설에서의 혐기성 소화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 폐기물소각 및 노천소각,530.01,705.28,828.76,1022.29,1476.73,2113.79,1508.67,1904.74,1797.16,3118.8,4160.39,4858.63,4284.72,4444.34,4398.89,4683.18,4985.73,4228.18,3940.21,3979.47,3817.67,4523.56,5090.31,5139.93,4709.61,4996.63,5031.7,5254.04,4848.64,4745.75,4456.73,4472.8,4263.31,4741.54
C 폐기물소각 및 노천소각_1 폐기물소각,530.01,705.28,828.76,1022.29,1476.73,2113.79,1508.67,1904.74,1797.16,3118.8,4160.39,4858.63,4284.72,4444.34,4398.89,4683.18,4985.73,4228.18,3940.21,3979.47,3817.67,4523.56,5090.31,5139.93,4709.61,4996.63,5031.7,5254.04,4848.64,4745.75,4456.73,4472.8,4263.31,4741.54
C 폐기물소각 및 노천소각_2 노천소각,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
D 하폐수처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 하폐수처리_1 폐수처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 하폐수처리_2 하수처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D 하폐수처리_3 기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 기타,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
별도항목(Memo Item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제벙커링 및 다국적 작전,14002.49,16854.27,20921.35,22161.62,25547.03,29437.16,35083.4,38504.55,38082.96,41216.47,39069.91,38182.3,38262.95,40918.14,42711.45,43166.36,41232.28,41801.96,39319.82,36096.64,38624.64,38346.33,37583.72,37604.66,38152.75,41227.73,46305.2,47233.1,46345.87,42292.79,41908.44,41744.06,46469,50057.75
국제벙커링 및 다국적 작전_벙커링,14002.49,16854.27,20921.35,22161.62,25547.03,29437.16,35083.4,38504.55,38082.96,41216.47,39069.91,38182.3,38262.95,40918.14,42711.45,43166.36,41232.28,41801.96,39319.82,36096.64,38624.64,38346.33,37583.72,37604.66,38152.75,41227.73,46305.2,47233.1,46345.87,42292.79,41908.44,41744.06,46469,50057.75
C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,6248.11,4262.55,5099.75,5630.95,6323.61,7152.82,7817,8513.2,7045.01,7289.84,7694.64,8063.42,9107.81,9572.16,10201.2,10616.47,8608.71,12127.86,11064.8,10539.23,11733.31,11833.61,11923.9,12589.9,12620.33,12979.23,14499.33,14853.99,15650.32,15948.22,9955.56,7821.71,9857.1,15972.25
C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,7754.38,12591.72,15821.6,16530.67,19223.42,22284.34,27266.4,29991.35,31037.95,33926.63,31375.26,30118.88,29155.15,31345.98,32510.25,32549.89,32623.57,29674.1,28255.01,25557.41,26891.33,26512.72,25659.82,25014.76,25532.42,28248.5,31805.87,32379.11,30695.55,26344.57,31952.87,33922.35,36611.9,34085.51
C 국제벙커링 및 다국적 작전_2 다국적 작전,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
