reporter,flow,exporter,importer,year,hs6,powertrain_class,units,quantity_flag,value,currency,source_id,source_file
AU,imports,JP,AU,2025,870323,ICE,121517,reported,2287559077.903,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870324,ICE,11976,reported,385400982.401,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870324,ICE,6,reported,289560.943,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870324,ICE,11970,reported,385111421.458,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870331,ICE,12,reported,98724.992,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870331,ICE,12,reported,98724.992,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870332,ICE,132,reported,2262307.201,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870332,ICE,1,reported,404109.014,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870332,ICE,131,reported,1858198.187,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870333,ICE,36785,reported,1507431612.294,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870333,ICE,36785,reported,1507431612.294,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870340,HEV,127594,reported,2700756491.317,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870340,HEV,5,reported,146656.054,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870340,HEV,127589,reported,2700609835.263,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870350,HEV,1708,reported,56154478.927,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870350,HEV,1708,reported,56154478.927,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870360,PHEV,7846,reported,268450138.654,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870360,PHEV,3,reported,116929.421,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870360,PHEV,7843,reported,268333209.233,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870370,PHEV,1,reported,6005.085,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870370,PHEV,1,reported,6005.085,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870380,BEV,6501,reported,184000631.655,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870380,BEV,1,reported,78004.99,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870380,BEV,6500,reported,183922626.665,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870390,OTHER,12,reported,276619.209,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870390,OTHER,12,reported,276619.209,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
JP,exports,JP,AU,2022,870321,ICE,841,reported,9299758.548,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870322,ICE,29293,reported,424329741.741,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870323,ICE,174095,reported,3149836701.584,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870324,ICE,9994,reported,298841028.781,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870332,ICE,2405,reported,63135848.693,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870333,ICE,33800,reported,1274426667.55,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870340,HEV,68971,reported,1275532683.15,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870350,HEV,1,reported,8996.325,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870360,PHEV,1515,reported,38700036.351,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870380,BEV,1304,reported,22424901.85,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2022,870390,OTHER,188,reported,4289102.322,USD,un_comtrade_public,comtrade_jp_x_au_2022.json
JP,exports,JP,AU,2023,870321,ICE,893,reported,9150878.852,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870322,ICE,31262,reported,436969113.225,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870323,ICE,178841,reported,3337424442.022,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870324,ICE,16593,reported,569487946.726,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870332,ICE,1644,reported,44069624.49,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870333,ICE,41701,reported,1610779049.973,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870340,HEV,93314,reported,1829383172.812,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870350,HEV,4,reported,252947.724,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870360,PHEV,7362,reported,218826908.097,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870380,BEV,5927,reported,150961015.052,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2023,870390,OTHER,82,reported,1677942.514,USD,un_comtrade_public,comtrade_jp_x_au_2023.json
JP,exports,JP,AU,2024,870321,ICE,471,reported,4010106.398,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870322,ICE,26742,reported,374454763.129,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870323,ICE,155226,reported,2691413937.748,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870324,ICE,13859,reported,456043474.414,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870332,ICE,99,reported,1311328.807,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870333,ICE,27919,reported,1193148682.896,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870340,HEV,140317,reported,2839617506.293,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870350,HEV,2,reported,17863.949,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870360,PHEV,14197,reported,423814175.404,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870380,BEV,6369,reported,162283240.755,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2024,870390,OTHER,49,reported,929500.111,USD,un_comtrade_public,comtrade_jp_x_au_2024.json
JP,exports,JP,AU,2025,870321,ICE,397,reported,3134526.492,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870322,ICE,7309,reported,96558242.967,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870323,ICE,113694,reported,2085192490.715,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870324,ICE,14512,reported,463627512.705,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870332,ICE,116,reported,2021530.33,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870333,ICE,37929,reported,1510377522.672,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870340,HEV,131204,reported,2571807904.259,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870360,PHEV,9491,reported,322177324.39,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870380,BEV,7028,reported,187985614.785,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
JP,exports,JP,AU,2025,870390,OTHER,28,reported,594373.956,USD,un_comtrade_public,comtrade_jp_x_au_2025.json
BE,imports,JP,BE,2022,870321,ICE,,reported,969469.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870322,ICE,,reported,278348891.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870323,ICE,,reported,1029390268.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870324,ICE,,reported,15488926.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870331,ICE,,reported,26500.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870332,ICE,,reported,89564181.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870333,ICE,,reported,258038963.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870340,HEV,,reported,1869546499.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870360,PHEV,,reported,784313586.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2022,870380,BEV,,reported,226455019.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870321,ICE,,reported,878740.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870322,ICE,,reported,184771182.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870323,ICE,,reported,1215183927.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
