gem_unit_id,scenario,dimension,variant,parameter,ti_lifetime_tco2,ti_remaining_tco2
G100000405041,S1,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405041,S2,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405041,S2,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405041,S2,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405041,S2,efficiency,central,0.36,1080171.555,1122932.287
G100000405041,S2,efficiency,low,0.335,1364486.355,1308830.424
G100000405041,S2,efficiency,high,0.385,832780.762,961176.767
G100000405041,S2,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405041,S2,emission_factor,low,54300.0,957931.399,1043006.03
G100000405041,S2,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405042,S1,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405042,S1,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405042,S1,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405042,S1,efficiency,central,0.36,1080171.555,1122932.287
G100000405042,S1,efficiency,low,0.335,1364486.355,1308830.424
G100000405042,S1,efficiency,high,0.385,832780.762,961176.767
G100000405042,S1,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405042,S1,emission_factor,low,54300.0,957931.399,1043006.03
G100000405042,S1,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405042,S2,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405042,S2,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405042,S2,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405042,S2,efficiency,central,0.36,1080171.555,1122932.287
G100000405042,S2,efficiency,low,0.335,1364486.355,1308830.424
G100000405042,S2,efficiency,high,0.385,832780.762,961176.767
G100000405042,S2,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405042,S2,emission_factor,low,54300.0,957931.399,1043006.03
G100000405042,S2,emission_factor,high,58300.0,1229576.196,1220619.937
G100000804694,S1,lifetime,central,25,-25635511.596,-14982581.681
G100000804694,S1,lifetime,low,20,-22583237.12,-11930307.205
G100000804694,S1,lifetime,high,30,-28084886.114,-17431956.199
G100000804694,S1,capacity_factor,central,0.2671,-25635511.596,-14982581.681
G100000804694,S1,capacity_factor,low,0.2378,-22823379.472,-13339041.27
G100000804694,S1,capacity_factor,high,0.2767,-26556892.768,-15521079.562
G100000804694,S2,lifetime,central,25,-25635511.596,-14982581.681
G100000804694,S2,lifetime,low,20,-22583237.12,-11930307.205
G100000804694,S2,lifetime,high,30,-28084886.114,-17431956.199
G100000804694,S2,capacity_factor,central,0.2671,-25635511.596,-14982581.681
G100000804694,S2,capacity_factor,low,0.2378,-22823379.472,-13339041.27
G100000804694,S2,capacity_factor,high,0.2767,-26556892.768,-15521079.562
G100000405048,S1,capacity_factor,central,0.3313,-27776723.753,0
G100000405048,S1,capacity_factor,low,0.3242,-27181448.359,0
G100000405048,S1,capacity_factor,high,0.3969,-33276733.044,0
G100000405048,S1,efficiency,central,0.55,-27776723.753,0
G100000405048,S1,efficiency,low,0.511,-24886928.128,0
G100000405048,S1,efficiency,high,0.589,-30283829.973,0
G100000405048,S1,emission_factor,central,56100.0,-27776723.753,0
G100000405048,S1,emission_factor,low,54300.0,-28991348.36,0
G100000405048,S1,emission_factor,high,58300.0,-26291598.248,0
G100000405048,S2,capacity_factor,central,0.3313,-27776723.753,0
G100000405048,S2,capacity_factor,low,0.3242,-27181448.359,0
G100000405048,S2,capacity_factor,high,0.3969,-33276733.044,0
G100000405048,S2,efficiency,central,0.55,-27776723.753,0
G100000405048,S2,efficiency,low,0.511,-24886928.128,0
G100000405048,S2,efficiency,high,0.589,-30283829.973,0
G100000405048,S2,emission_factor,central,56100.0,-27776723.753,0
G100000405048,S2,emission_factor,low,54300.0,-28991348.36,0
G100000405048,S2,emission_factor,high,58300.0,-26291598.248,0
G100000405049,S1,capacity_factor,central,0.3313,-8420465.645,531970.427
G100000405049,S1,capacity_factor,low,0.3242,-8240008.942,520569.915
G100000405049,S1,capacity_factor,high,0.3969,-10087783.93,637304.747
G100000405049,S1,efficiency,central,0.55,-8420465.645,531970.427
G100000405049,S1,efficiency,low,0.511,-6685368.263,1266050.089
