company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.115,equity_share,gem,,G100000112731,L100000102695,Asahimas Chemical power station,ID,coal,operating,150.0,2019,S1,7582880.691,872031.279,6366269.949,732121.044,liability,C,-6.024754,105.942635,https://www.gem.wiki/Asahimas_Chemical_power_station
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.115,equity_share,gem,,G100000112731,L100000102695,Asahimas Chemical power station,ID,coal,operating,150.0,2019,S2,7582880.691,872031.279,6366269.949,732121.044,liability,C,-6.024754,105.942635,https://www.gem.wiki/Asahimas_Chemical_power_station
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.34,equity_share,gem,,G100000101261,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S1,28041249.201,9534024.728,25652697.217,8721917.054,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.34,equity_share,gem,,G100000101261,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S2,28041249.201,9534024.728,25652697.217,8721917.054,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.32,equity_share,gem,,G100000101261,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S1,28041249.201,8973199.744,25652697.217,8208863.109,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.32,equity_share,gem,,G100000101261,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S2,28041249.201,8973199.744,25652697.217,8208863.109,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.34,equity_share,gem,,G100000101262,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S1,28041249.201,9534024.728,25652697.217,8721917.054,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_parent,equity_parent,0.34,equity_share,gem,,G100000101262,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S2,28041249.201,9534024.728,25652697.217,8721917.054,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.32,equity_share,gem,,G100000101262,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S1,28041249.201,8973199.744,25652697.217,8208863.109,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.32,equity_share,gem,,G100000101262,L100000102709,Central Java Power Project,ID,coal,operating,950.0,2022,S2,28041249.201,8973199.744,25652697.217,8208863.109,liability,C,-6.900828,109.803685,https://www.gem.wiki/Central_Java_Power_Project
