company_id,company_name,company_country,phase,role_tier1,role_tier2_all,scenario,units,units_with_share,units_from_register,units_from_company_ir,units_from_gem,units_from_wiki,capacity_mw,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction_full
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,29,27,0,4,25,0,14868.9,274107041.957,276409654.289,277848422.868,228785824.871,liability
sumitomo_corp,Sumitomo Corporation,JP,finance,lender,lease_finance,S1,4,0,0,4,0,0,2640.0,155069630.06,0,90889241.269,0,liability
sumitomo_corp,Sumitomo Corporation,JP,finance,lender,lease_finance,S2,4,0,0,4,0,0,2640.0,155069630.06,0,90889241.269,0,liability
tohoku,Tohoku Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S1,3,3,0,0,3,0,1411.0,100225568.14,10022556.815,91836147.732,9183614.773,liability
tohoku,Tohoku Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S2,3,3,0,0,3,0,1411.0,100225568.14,10022556.815,91836147.732,9183614.773,liability
tokyo_gas,Tokyo Gas,JP,investment,equity_owner,equity_direct|equity_parent,S1,9,4,0,0,9,0,9231.6,-188034074.94,-7605386.301,-180227471.395,-6430703.43,contribution
tokyo_gas,Tokyo Gas,JP,investment,equity_owner,equity_direct|equity_parent,S2,9,4,0,0,9,0,9231.6,-181334753.237,-5715034.695,-173528149.692,-4540351.823,contribution
toshiba,Toshiba Energy Systems & Solutions,JP,construction,epc_contractor,epc_civil_works|epc_consortium_member,S1,7,0,0,7,0,0,5556.0,219990267.009,0,197845657.911,0,liability
toshiba,Toshiba Energy Systems & Solutions,JP,construction,epc_contractor,epc_civil_works|epc_consortium_member,S2,5,0,0,5,0,0,4356.0,211413706.299,0,190877569.247,0,liability
toshiba,Toshiba Energy Systems & Solutions,JP,construction,equipment_supplier,steam_turbine_supply,S1,10,0,0,10,0,0,7272.0,349830455.17,0,265002900.422,0,liability
toshiba,Toshiba Energy Systems & Solutions,JP,construction,equipment_supplier,steam_turbine_supply,S2,8,0,0,8,0,0,6072.0,341253894.46,0,258034811.758,0,liability
toyota_tsusho,Toyota Tsusho Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,34,23,0,0,34,0,4559.8,-50948024.304,-26760704.881,-19304637.916,-10331699.607,contribution
toyota_tsusho,Toyota Tsusho Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,28,18,0,0,28,0,3317.8,-20317060.969,-14269095.025,10845595.173,1513299.864,contribution
toyota_tsusho,Toyota Tsusho Corporation,JP,operation,om_contractor,operator_of_record,S1,12,0,0,0,12,0,866.3,-24156558.761,0,-12658939.008,0,contribution
toyota_tsusho,Toyota Tsusho Corporation,JP,operation,om_contractor,operator_of_record,S2,10,0,0,0,10,0,484.3,-11171898.214,0,-2567833.783,0,contribution
