market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
EU27,nissan,2024,S3,5,2029,197588,-200861.7423
EU27,nissan,2024,S3,6,2030,197588,-223383.5609
EU27,nissan,2024,S3,7,2031,197588,-242850.8394
EU27,nissan,2024,S3,8,2032,197588,-259677.2617
EU27,nissan,2024,S3,9,2033,197588,-274220.5359
EU27,nissan,2024,S3,10,2034,197588,-286789.9641
EU27,nissan,2024,S3,11,2035,197588,-297652.9888
EU27,nissan,2024,S3,12,2036,197588,-307040.8544
EU27,nissan,2024,S3,13,2037,197588,-315153.5031
EU27,nissan,2024,S3,14,2038,188960,-305745.3899
EU27,nissan,2024,S3,15,2039,151255,-250498.8347
EU27,nissan,2024,S3,16,2040,140992,-238413.6893
EU27,nissan,2024,S3,17,2041,111420,-197362.4369
EU27,nissan,2024,S3,18,2042,110451,-197352.6532
EU27,nissan,2024,S3,19,2043,63472,-114040.7854
EU27,nissan,2024,S3,20,2044,62625,-113284.9373
EU27,nissan,2024,S3,21,2045,21002,-37797.1894
EU27,nissan,2024,S3,22,2046,15183,-27445.7203
EU27,nissan,2024,S3,23,2047,10490,-20239.6428
EU27,nissan,2024,S3,24,2048,1202,-2213.2129
EU27,toyota,2024,S1,0,2024,777277,88716.2304
EU27,toyota,2024,S1,1,2025,777277,63100.9183
EU27,toyota,2024,S1,2,2026,777277,38270.2855
EU27,toyota,2024,S1,3,2027,777277,14196.0697
EU27,toyota,2024,S1,4,2028,777277,-9148.4789
EU27,toyota,2024,S1,5,2029,777277,-31788.7065
EU27,toyota,2024,S1,6,2030,777277,-53748.654
EU27,toyota,2024,S1,7,2031,777277,-75051.148
EU27,toyota,2024,S1,8,2032,777277,-95717.8842
EU27,toyota,2024,S1,9,2033,777277,-115769.5036
EU27,toyota,2024,S1,10,2034,777277,-135225.6629
EU27,toyota,2024,S1,11,2035,777277,-154105.0992
EU27,toyota,2024,S1,12,2036,777277,-172425.6889
EU27,toyota,2024,S1,13,2037,777277,-190204.5023
EU27,toyota,2024,S1,14,2038,754555,-194471.321
EU27,toyota,2024,S1,15,2039,637852,-163633.5945
EU27,toyota,2024,S1,16,2040,572138,-140564.3698
EU27,toyota,2024,S1,17,2041,441582,-116014.3131
EU27,toyota,2024,S1,18,2042,438291,-122989.7874
EU27,toyota,2024,S1,19,2043,264798,-50239.295
EU27,toyota,2024,S1,20,2044,260671,-54997.7937
EU27,toyota,2024,S1,21,2045,153264,-9782.3538
EU27,toyota,2024,S1,22,2046,138165,-8400.1815
EU27,toyota,2024,S1,23,2047,118340,13939.8013
EU27,toyota,2024,S1,24,2048,12213,-5864.1438
EU27,toyota,2024,S2,0,2024,777277,88716.2304
EU27,toyota,2024,S2,1,2025,777277,30850.3739
EU27,toyota,2024,S2,2,2026,777277,-24507.5496
EU27,toyota,2024,S2,3,2027,777277,-77465.9116
EU27,toyota,2024,S2,4,2028,777277,-128128.4316
EU27,toyota,2024,S2,5,2029,777277,-176594.3747
EU27,toyota,2024,S2,6,2030,777277,-222958.7398
EU27,toyota,2024,S2,7,2031,777277,-267312.4395
EU27,toyota,2024,S2,8,2032,777277,-309742.4753
EU27,toyota,2024,S2,9,2033,777277,-350332.1021
EU27,toyota,2024,S2,10,2034,777277,-389160.9889
EU27,toyota,2024,S2,11,2035,777277,-426305.3708
EU27,toyota,2024,S2,12,2036,777277,-461838.1959
EU27,toyota,2024,S2,13,2037,777277,-495829.2654
EU27,toyota,2024,S2,14,2038,754555,-509462.7935
EU27,toyota,2024,S2,15,2039,637852,-461615.7811
EU27,toyota,2024,S2,16,2040,572138,-431704.9365
EU27,toyota,2024,S2,17,2041,441582,-366944.2116
EU27,toyota,2024,S2,18,2042,438291,-379607.3229
EU27,toyota,2024,S2,19,2043,264798,-237503.0764
EU27,toyota,2024,S2,20,2044,260671,-243198.3016
EU27,toyota,2024,S2,21,2045,153264,-157514.3738
EU27,toyota,2024,S2,22,2046,138165,-147009.8739
EU27,toyota,2024,S2,23,2047,118340,-131391.9366
EU27,toyota,2024,S2,24,2048,12213,-14702.9608
EU27,toyota,2024,S3,0,2024,777277,88716.2304
EU27,toyota,2024,S3,1,2025,777277,-91596.0305
EU27,toyota,2024,S3,2,2026,777277,-247532.332
EU27,toyota,2024,S3,3,2027,777277,-382387.2316
EU27,toyota,2024,S3,4,2028,777277,-499010.073
EU27,toyota,2024,S3,5,2029,777277,-599865.1452
EU27,toyota,2024,S3,6,2030,777277,-687083.7125
EU27,toyota,2024,S3,7,2031,777277,-762509.0157
EU27,toyota,2024,S3,8,2032,777277,-827735.1909
EU27,toyota,2024,S3,9,2033,777277,-884140.9317
EU27,toyota,2024,S3,10,2034,777277,-932918.6013
EU27,toyota,2024,S3,11,2035,777277,-975099.4123
EU27,toyota,2024,S3,12,2036,777277,-1011575.2031
EU27,toyota,2024,S3,13,2037,777277,-1043117.2725
EU27,toyota,2024,S3,14,2038,754555,-1033184.709
EU27,toyota,2024,S3,15,2039,637852,-891149.1607
EU27,toyota,2024,S3,16,2040,572138,-809160.4047
EU27,toyota,2024,S3,17,2041,441582,-652997.9937
EU27,toyota,2024,S3,18,2042,438291,-655394.241
EU27,toyota,2024,S3,19,2043,264798,-404260.1949
EU27,toyota,2024,S3,20,2044,260671,-401342.4161
EU27,toyota,2024,S3,21,2045,153264,-239310.1754
EU27,toyota,2024,S3,22,2046,138165,-217349.7328
EU27,toyota,2024,S3,23,2047,118340,-189838.5386
EU27,toyota,2024,S3,24,2048,12213,-19932.1337
KR,hyundai,2024,S1,0,2024,415304,158864.0283
KR,hyundai,2024,S1,1,2025,415304,161563.1853
KR,hyundai,2024,S1,2,2026,415304,164252.359
KR,hyundai,2024,S1,3,2027,415304,166931.8655
KR,hyundai,2024,S1,4,2028,415304,169602.0157
KR,hyundai,2024,S1,5,2029,415304,172263.1123
KR,hyundai,2024,S1,6,2030,415304,174915.4528
KR,hyundai,2024,S1,7,2031,415304,177559.3281
KR,hyundai,2024,S1,8,2032,415304,180195.0225
KR,hyundai,2024,S1,9,2033,415304,182822.815
KR,hyundai,2024,S1,10,2034,415304,185442.978
KR,hyundai,2024,S2,0,2024,415304,158864.0283
KR,hyundai,2024,S2,1,2025,415304,100288.2659
KR,hyundai,2024,S2,2,2026,415304,45210.5892
KR,hyundai,2024,S2,3,2027,415304,-6577.7644
KR,hyundai,2024,S2,4,2028,415304,-55273.1041
KR,hyundai,2024,S2,5,2029,415304,-101060.0313
KR,hyundai,2024,S2,6,2030,415304,-144112.1358
KR,hyundai,2024,S2,7,2031,415304,-184592.6517
KR,hyundai,2024,S2,8,2032,415304,-222655.0771
KR,hyundai,2024,S2,9,2033,415304,-258443.7521
KR,hyundai,2024,S2,10,2034,415304,-292094.4065
KR,hyundai,2024,S3,0,2024,415304,158864.0283
KR,hyundai,2024,S3,1,2025,415304,54940.4992
KR,hyundai,2024,S3,2,2026,415304,-37987.4878
KR,hyundai,2024,S3,3,2027,415304,-121081.4535
KR,hyundai,2024,S3,4,2028,415304,-195380.3623
KR,hyundai,2024,S3,5,2029,415304,-261813.545
KR,hyundai,2024,S3,6,2030,415304,-321212.2539
KR,hyundai,2024,S3,7,2031,415304,-374320.0065
KR,hyundai,2024,S3,8,2032,415304,-421801.8365
KR,hyundai,2024,S3,9,2033,415304,-464252.5712
KR,hyundai,2024,S3,10,2034,415304,-502204.2342
KR,hyundai,2025,S1,0,2025,450470,181528.8468
KR,hyundai,2025,S1,1,2026,450470,184653.4588
KR,hyundai,2025,S1,2,2027,450470,187762.951
KR,hyundai,2025,S1,3,2028,450470,190857.7596
KR,hyundai,2025,S1,4,2029,450470,193938.3134
KR,hyundai,2025,S1,5,2030,450470,197005.0301
KR,hyundai,2025,S1,6,2031,450470,200058.3201
KR,hyundai,2025,S1,7,2032,450470,203098.5843
KR,hyundai,2025,S1,8,2033,450470,206126.2151
KR,hyundai,2025,S1,9,2034,450470,209141.597
KR,hyundai,2025,S1,10,2035,450470,212145.1057
KR,hyundai,2025,S2,0,2025,450470,181528.8468
KR,hyundai,2025,S2,1,2026,450470,118443.8253
KR,hyundai,2025,S2,2,2027,450470,59130.6114
KR,hyundai,2025,S2,3,2028,450470,3363.8869
KR,hyundai,2025,S2,4,2029,450470,-49068.2146
KR,hyundai,2025,S2,5,2030,450470,-98364.9134
KR,hyundai,2025,S2,6,2031,450470,-144713.5364
KR,hyundai,2025,S2,7,2032,450470,-188290.2259
KR,hyundai,2025,S2,8,2033,450470,-229260.6093
KR,hyundai,2025,S2,9,2034,450470,-267780.4237
KR,hyundai,2025,S2,10,2035,450470,-303996.1084
KR,hyundai,2025,S3,0,2025,450470,181528.8468
KR,hyundai,2025,S3,1,2026,450470,69501.9561
KR,hyundai,2025,S3,2,2027,450470,-30652.0197
KR,hyundai,2025,S3,3,2028,450470,-120188.816
KR,hyundai,2025,S3,4,2029,450470,-200231.5533
KR,hyundai,2025,S3,5,2030,450470,-271784.7293
KR,hyundai,2025,S3,6,2031,450470,-335746.7305
KR,hyundai,2025,S3,7,2032,450470,-392921.03
KR,hyundai,2025,S3,8,2033,450470,-444026.203
KR,hyundai,2025,S3,9,2034,450470,-489704.8868
KR,hyundai,2025,S3,10,2035,450470,-530531.7947
KR,kia,2026,S1,0,2026,276689,104316.7245
KR,kia,2026,S1,1,2027,276689,107252.3531
KR,kia,2026,S1,2,2028,276689,110156.5427
KR,kia,2026,S1,3,2029,276689,113030.0443
KR,kia,2026,S1,4,2030,276689,115873.5934
KR,kia,2026,S1,5,2031,276689,118687.9086
KR,kia,2026,S1,6,2032,276689,121473.6938
KR,kia,2026,S1,7,2033,276689,124231.6374
KR,kia,2026,S1,8,2034,276689,126962.4126
KR,kia,2026,S1,9,2035,276689,129666.6787
KR,kia,2026,S1,10,2036,276689,132345.0804
KR,kia,2026,S2,0,2026,276689,104316.7245
KR,kia,2026,S2,1,2027,276689,67894.7922
KR,kia,2026,S2,2,2028,276689,33673.5505
KR,kia,2026,S2,3,2029,276689,1520.392
KR,kia,2026,S2,4,2030,276689,-28689.3171
KR,kia,2026,S2,5,2031,276689,-57072.7172
KR,kia,2026,S2,6,2032,276689,-83739.9044
KR,kia,2026,S2,7,2033,276689,-108794.3523
KR,kia,2026,S2,8,2034,276689,-132333.3116
KR,kia,2026,S2,9,2035,276689,-154448.1812
KR,kia,2026,S2,10,2036,276689,-175224.8621
KR,kia,2026,S3,0,2026,276689,104316.7245
KR,kia,2026,S3,1,2027,276689,39102.0623
KR,kia,2026,S3,2,2028,276689,-19097.0721
KR,kia,2026,S3,3,2029,276689,-71030.6223
